Parámetros,Balanced Accuracy media,Desviación estándar,Ranking,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
"classifier=GradientBoostingClassifier(random_state=42), classifier__learning_rate=0.15, classifier__max_depth=5, classifier__min_samples_leaf=7, classifier__n_estimators=600, classifier__subsample=0.9",0.9066984276627214,0.01029224241629176,1,0.8925108006250575,0.9153070135122714,0.8991938294263876,0.9057454173733244,0.9207350773765659
"classifier=RandomForestClassifier(random_state=42), classifier__class_weight=balanced, classifier__criterion=gini, classifier__max_depth=None, classifier__min_samples_leaf=2, classifier__min_samples_split=2, classifier__n_estimators=100",0.7918737042207504,0.022094762511107674,2,0.8143096791984556,0.7631331004687931,0.779371790999698,0.8210045768185303,0.7815493736182756
"classifier=RandomForestClassifier(random_state=42), classifier__class_weight=balanced, classifier__criterion=entropy, classifier__max_depth=None, classifier__min_samples_leaf=2, classifier__min_samples_split=2, classifier__n_estimators=100",0.7905339604783487,0.030073673564379656,3,0.821858626712014,0.7576983178600974,0.7650024394210441,0.83093650535511,0.7771739130434783
"classifier=RandomForestClassifier(random_state=42), classifier__class_weight=balanced, classifier__criterion=entropy, classifier__max_depth=10, classifier__min_samples_leaf=2, classifier__min_samples_split=2, classifier__n_estimators=100",0.734362118875452,0.017526530899552015,4,0.7578476882066367,0.7273531574593253,0.7104755709406873,0.7510512743070883,0.7250829034635224
"classifier=RandomForestClassifier(random_state=42), classifier__class_weight=balanced, classifier__criterion=gini, classifier__max_depth=10, classifier__min_samples_leaf=2, classifier__min_samples_split=2, classifier__n_estimators=100",0.7308889369871616,0.022217335597671646,5,0.762225388362901,0.709991727180807,0.7115326533931186,0.7531654392119509,0.7175294767870302
