classifier,Num_Configs,BA_Mean,BA_Std,BA_Max,AUC_Mean,AUC_Max,PR_Mean,PR_Max,Recall_Mean
AdaBoostClassifier,1,0.6774,,0.6774,0.7336,0.7336,0.4209,0.4209,0.6404
DecisionTreeClassifier,1,0.7832,,0.7832,0.8644,0.8644,0.6155,0.6155,0.6491
ExtraTreesClassifier,1,0.9158,,0.9158,0.9914,0.9914,0.9716,0.9716,0.8333
GradientBoostingClassifier,1,0.9598,,0.9598,0.9765,0.9765,0.9644,0.9644,0.9298
KNeighborsClassifier,1,0.8229,,0.8229,0.904,0.904,0.7265,0.7265,0.8772
LogisticRegression,1,0.7058,,0.7058,0.7645,0.7645,0.4053,0.4053,0.7105
MLPClassifier,1,0.9333,,0.9333,0.9537,0.9537,0.817,0.817,0.9123
RandomForestClassifier,1,0.8266,,0.8266,0.9498,0.9498,0.8512,0.8512,0.6667
